resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid,status,driverref,constructorref,circuitid,name,year,circuitref,alt,weather,weather_type,total_points_driver,average_col_acc,rankfast,sumpits,points_season,points_circuit,constructor_failures,constructor_failures_driver,constructor_failures_driver_constructor,rank_yrs_exp_driver,rank_exp_driver,rank_wins_driver,rank_run_circuit,rank_quali_wins_driver,driver_failures
25126,1060,830,9,33,1,1,1,1,26,71,23:54.5,5034543,55,1,01:06.2,234.815,1,Finished,max_verstappen,red_bull,70,Austrian Grand Prix,2021,red_bull_ring,678,Parzialmente nuvoloso,2,2,0.09,3,3,1,1,3,1,3,5,10,5,2,6,2
25165,1061,830,9,33,1,,R,20,3,0,\N,,45,0,\N,\N,4,Collision,max_verstappen,red_bull,9,British Grand Prix,2021,silverstone,153,Sereno,1,2,0.09,2,4,1,1,12,0,3,5,10,5,8,6,2
25174,1062,830,9,33,3,9,9,9,2,70,+1:20.244,7563443,49,4,192.074,194.843,1,Finished,max_verstappen,red_bull,11,Hungarian Grand Prix,2021,hungaroring,264,"Piovoso a inizio gara, asciutto successivamente",3,2,0.09,2,11,1,1,8,1,3,5,10,5,6,6,0
25186,1063,830,9,33,1,1,1,1,12.5,1,03:27.1,207071,0,0,\N,\N,1,Finished,max_verstappen,red_bull,13,Belgian Grand Prix,2021,spa,401,Piovoso,3,2,0.09,0,4,1,1,12,0,3,5,10,5,7,6,4
25206,1064,830,9,33,1,1,1,1,25,72,30:05.4,5405395,72,3,01:13.3,209.244,1,Finished,max_verstappen,red_bull,39,Dutch Grand Prix,2021,zandvoort,6,Sereno,1,2,0.09,1,5,1,1,0,0,3,5,10,5,1,6,0
25243,1065,830,9,33,1,,R,18,2,25,\N,,3,5,01:25.2,244.852,4,Collision,max_verstappen,red_bull,14,Italian Grand Prix,2021,monza,162,Sereno,1,2,0.09,14,2,1,1,14,0,3,5,10,5,5,6,4
25247,1066,830,9,33,20,2,2,2,18,53,53.271,5494272,43,5,01:38.4,213.959,1,Finished,max_verstappen,red_bull,71,Russian Grand Prix,2021,sochi,2,Nuvoloso con pioggia nel finale,3,2,0.09,2,4,1,1,0,0,3,5,10,5,2,6,0
25267,1067,830,9,33,2,2,2,2,18,58,14.584,5478687,52,9,01:32.8,207.169,1,Finished,max_verstappen,red_bull,5,Turkish Grand Prix,2021,istanbul,130,Nuvoloso e piovoso,3,2,0.09,10,2,1,1,0,0,3,5,10,5,5,6,0
25286,1069,830,9,33,1,1,1,1,25,56,34:36.6,5676552,41,2,01:39.1,200.278,1,Finished,max_verstappen,red_bull,69,United States Grand Prix,2021,americas,161,Sereno,1,2,0.09,1,4,1,1,0,0,3,5,10,5,3,6,0
25306,1070,830,9,33,3,1,1,1,25,71,38:39.1,5919086,66,2,01:19.0,196.134,1,Finished,max_verstappen,red_bull,32,Mexico City Grand Prix,2021,rodriguez,2227,Sereno,1,2,0.09,4,5,1,3,0,0,3,5,10,5,1,6,0
25327,1071,830,9,33,2,2,2,2,20,71,10.496,5553347,46,3,01:12.5,214.005,1,Finished,max_verstappen,red_bull,18,São Paulo Grand Prix,2021,interlagos,785,not found,0,2,0.09,2,8,1,2,8,1,3,5,10,5,7,6,0
25367,1072,830,9,33,3,2,2,2,18,50,11.825,7586943,47,3,01:31.5,242.943,1,Finished,max_verstappen,red_bull,77,Saudi Arabian Grand Prix,2021,jeddah,15,Sereno,1,2,0.09,1,6,1,1,0,0,3,5,10,5,1,6,0
25386,1073,830,9,33,1,1,1,1,26,58,30:17.3,5417345,43,1,01:26.1,220.8,1,Finished,max_verstappen,red_bull,24,Abu Dhabi Grand Prix,2021,yas_marina,3,Sereno,1,2,0.09,3,2,1,1,0,1,3,5,10,5,4,6,0
