resultId,raceId,driverId,constructorId,pitstops,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rankfast,fastestLapTime,fastestLapSpeed,statusId,status,driverRef,constructorRef,circuitId,name,year,circuitRef,
25073,1057,832,6,6,55,5,8,8,8,4,51,7.709,8024119,42,13,01:45.7,204.454,1,Finished,sainz,ferrari,73,Azerbaijan Grand Prix,2021,BAK,
25111,1058,832,6,1,55,12,6,6,6,8,70,\N,\N,64,4,01:08.6,226.57,11,+1 Lap,sainz,ferrari,70,Styrian Grand Prix,2021,red_bull_ring,
25096,1059,832,6,1,55,5,11,11,11,0,53,+1:39.337,5345107,19,18,01:38.9,212.584,1,Finished,sainz,ferrari,34,French Grand Prix,2021,ricard,
25130,1060,832,6,1,55,10,5,5,5,10,71,57.144,5091687,70,2,01:07.8,229.402,1,Finished,sainz,ferrari,70,Austrian Grand Prix,2021,red_bull_ring,
25151,1061,832,6,3,55,10,6,6,6,8,52,43.454,7146738,51,7,01:31.2,232.48,1,Finished,sainz,ferrari,9,British Grand Prix,2021,silverstone,
25168,1062,832,6,6,55,15,3,3,3,15,70,15.018,7498217,54,6,01:21.4,193.699,1,Finished,sainz,ferrari,11,Hungarian Grand Prix,2021,hungaroring,
25195,1063,832,6,0,55,11,10,10,10,0.5,1,16.166,223237,\N,0,\N,\N,1,Finished,sainz,ferrari,13,Belgian Grand Prix,2021,spa,
25212,1064,832,6,1,55,6,7,7,7,6,71,\N,\N,45,13,01:15.3,203.725,11,+1 Lap,sainz,ferrari,39,Dutch Grand Prix,2021,zandvoort,
25231,1065,832,6,1,55,6,6,6,6,8,53,10.535,4924900,53,8,01:25.6,243.747,1,Finished,sainz,ferrari,14,Italian Grand Prix,2021,monza,
25248,1066,832,6,3,55,2,3,3,3,15,53,+1:02.475,5503476,40,12,01:39.3,212.024,1,Finished,sainz,ferrari,71,Russian Grand Prix,2021,sochi,
25273,1067,832,6,1,55,19,8,8,8,4,58,51.526,5515629,49,2,01:31.9,209.057,1,Finished,sainz,ferrari,5,Turkish Grand Prix,2021,istanbul,
25292,1069,832,6,3,55,5,7,7,7,6,56,+1:23.545,5760097,40,9,01:40.4,197.722,1,Finished,sainz,ferrari,69,United States Grand Prix,2021,americas,
25311,1070,832,6,1,55,6,6,6,6,8,70,\N,\N,63,5,01:20.1,193.484,11,+1 Lap,sainz,ferrari,32,Mexico City Grand Prix,2021,rodriguez,
25331,1071,832,6,10,55,3,6,6,6,9,71,51.82,5594671,63,6,01:12.7,213.346,1,Finished,sainz,ferrari,18,São Paulo Grand Prix,2021,interlagos,
25373,1072,832,6,3,55,15,8,8,8,4,50,46.606,7621724,37,7,01:31.9,241.983,1,Finished,sainz,ferrari,77,Saudi Arabian Grand Prix,2021,jeddah,
25388,1073,832,6,1,55,5,3,3,3,15,58,5.173,5422518,51,9,01:27.6,216.982,1,Finished,sainz,ferrari,24,Abu Dhabi Grand Prix,2021,yas_marina,
23790,989,838,1,1,2,11,9,9,9,2,58,34.921,5408204,57,6,01:27.0,219.54,1,Finished,vandoorne,mclaren,1,Australian Grand Prix,2018,albert_park,
23809,990,838,1,3,2,14,8,8,8,4,56,\N,\N,30,16,01:35.1,204.803,11,+1 Lap,vandoorne,mclaren,3,Bahrain Grand Prix,2018,bahrain,
23834,991,838,1,1,2,14,13,13,13,0,56,49.373,5785753,54,13,01:38.1,199.961,1,Finished,vandoorne,mclaren,17,Chinese Grand Prix,2018,shanghai,
23850,992,838,1,10,2,16,9,9,9,2,51,14.152,6238443,50,13,01:47.7,200.72,1,Finished,vandoorne,mclaren,73,Azerbaijan Grand Prix,2018,BAK,
23876,993,838,1,1,2,11,\N,R,15,0,45,\N,\N,38,16,01:22.6,202.896,6,Gearbox,vandoorne,mclaren,4,Spanish Grand Prix,2018,catalunya,
23895,994,838,1,3,2,12,14,14,14,0,77,\N,\N,76,11,01:16.9,156.291,11,+1 Lap,vandoorne,mclaren,6,Monaco Grand Prix,2018,monaco,
23917,995,838,1,3,2,15,16,16,16,0,66,\N,\N,55,15,01:15.8,207.214,12,+2 Laps,vandoorne,mclaren,7,Canadian Grand Prix,2018,villeneuve,
23933,996,838,1,1,2,17,12,12,12,0,52,\N,\N,48,14,01:36.7,217.545,11,+1 Lap,vandoorne,mclaren,34,French Grand Prix,2018,ricard,
23956,997,838,1,3,2,15,15,15,15,0,65,\N,\N,63,12,01:08.9,225.633,130,Collision damage,vandoorne,mclaren,70,Austrian Grand Prix,2018,red_bull_ring,
23972,998,838,1,3,2,17,11,11,11,0,52,35.774,5285558,48,11,01:33.6,226.695,1,Finished,vandoorne,mclaren,9,British Grand Prix,2018,silverstone,
23995,999,838,1,3,2,19,13,13,13,0,67,46.617,5596462,67,8,01:17.5,212.368,1,Finished,vandoorne,mclaren,10,German Grand Prix,2018,hockenheimring,
24020,1000,838,1,1,2,16,\N,R,18,0,49,\N,\N,46,15,01:23.1,189.843,6,Gearbox,vandoorne,mclaren,11,Hungarian Grand Prix,2018,hungaroring,
24037,1001,838,1,6,2,18,15,15,15,0,43,\N,\N,38,13,01:49.0,231.418,11,+1 Lap,vandoorne,mclaren,13,Belgian Grand Prix,2018,spa,
24054,1002,838,1,1,2,17,13,13,12,0,52,\N,\N,52,13,01:24.5,246.79,11,+1 Lap,vandoorne,mclaren,14,Italian Grand Prix,2018,monza,
24074,1003,838,1,1,2,18,12,12,12,0,60,\N,\N,50,14,01:45.6,172.675,11,+1 Lap,vandoorne,mclaren,15,Singapore Grand Prix,2018,marina_bay,
24098,1004,838,1,1,2,15,16,16,16,0,51,\N,\N,41,18,01:39.9,210.692,12,+2 Laps,vandoorne,mclaren,71,Russian Grand Prix,2018,sochi,
24117,1005,838,1,1,2,19,15,15,15,0,52,\N,\N,25,18,01:35.0,220.001,11,+1 Lap,vandoorne,mclaren,22,Japanese Grand Prix,2018,suzuka,
24133,1006,838,1,3,2,17,11,11,11,0,55,\N,\N,52,12,01:39.9,198.636,11,+1 Lap,vandoorne,mclaren,69,United States Grand Prix,2018,americas,
24150,1007,838,1,1,2,15,8,8,8,4,69,\N,\N,14,11,01:21.9,189.138,12,+2 Laps,vandoorne,mclaren,32,Mexican Grand Prix,2018,rodriguez,
24176,1008,838,1,1,2,20,14,14,14,0,70,\N,\N,68,16,01:13.0,212.591,11,+1 Lap,vandoorne,mclaren,18,Brazilian Grand Prix,2018,interlagos,
24196,1009,838,1,1,2,18,14,14,14,0,54,\N,\N,53,12,01:43.2,193.652,11,+1 Lap,vandoorne,mclaren,24,Abu Dhabi Grand Prix,2018,yas_marina,
23793,989,839,10,1,31,14,12,12,12,0,58,+1:00.278,5433561,57,10,01:27.6,217.931,1,Finished,ocon,force_india,1,Australian Grand Prix,2018,albert_park,
23811,990,839,10,3,31,8,10,10,10,1,56,\N,\N,38,12,01:35.0,204.993,11,+1 Lap,ocon,force_india,3,Bahrain Grand Prix,2018,bahrain,
23832,991,839,10,3,31,12,11,11,11,0,56,44.05,5780430,47,12,01:38.0,200.271,1,Finished,ocon,force_india,17,Chinese Grand Prix,2018,shanghai,
23860,992,839,10,0,31,7,\N,R,19,0,0,\N,\N,\N,0,\N,\N,4,Collision,ocon,force_india,73,Azerbaijan Grand Prix,2018,BAK,
23877,993,839,10,1,31,13,\N,R,16,0,38,\N,\N,36,13,01:22.1,204.074,44,Oil leak,ocon,force_india,4,Spanish Grand Prix,2018,catalunya,
23887,994,839,10,1,31,6,6,6,6,8,78,23.667,6198474,63,14,01:17.0,155.96,1,Finished,ocon,force_india,6,Monaco Grand Prix,2018,monaco,
23910,995,839,10,1,31,8,9,9,9,2,67,\N,\N,61,12,01:15.6,207.639,11,+1 Lap,ocon,force_india,7,Canadian Grand Prix,2018,villeneuve,
23940,996,839,10,0,31,11,\N,R,19,0,0,\N,\N,\N,0,\N,\N,4,Collision,ocon,force_india,34,French Grand Prix,2018,ricard,
23947,997,839,10,1,31,11,6,6,6,8,70,\N,\N,64,11,01:08.8,225.777,11,+1 Lap,ocon,force_india,70,Austrian Grand Prix,2018,red_bull_ring,
23968,998,839,10,1,31,10,7,7,7,6,52,29.93,5279714,48,13,01:33.6,226.562,1,Finished,ocon,force_india,9,British Grand Prix,2018,silverstone,
23990,999,839,10,1,31,15,8,8,8,4,67,31.75,5581595,64,17,01:17.9,211.267,1,Finished,ocon,force_india,10,German Grand Prix,2018,hockenheimring,
24015,1000,839,10,1,31,18,13,13,13,0,69,\N,\N,63,14,01:22.9,190.303,11,+1 Lap,ocon,force_india,11,Hungarian Grand Prix,2018,hungaroring,
