resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid,status,driverref,constructorref,circuitid,name,year,circuitref,alt,weather,weather_type,total_points_driver,average_col_acc,rankfast,sumpits,points_season,points_circuit,constructor_failures,constructor_failures_driver,constructor_failures_driver_constructor,rank_yrs_exp_driver,rank_exp_driver,rank_wins_driver,rank_run_circuit,rank_quali_wins_driver,driver_failures
24958,1047,844,6,16,12,13,13,13,0,54,\N,,37,10,01:41.9,196.2,11,+1 Lap,leclerc,ferrari,24,Abu Dhabi Grand Prix,2020,yas_marina,3,Sereno,1,5,0.1,5,2,1,1,0,1,3,8,18,8,7,7,0
25353,1051,844,6,16,13,8,8,8,4,57,+1:23.126,5151597,50,8,01:26.6,223.765,1,Finished,leclerc,ferrari,78,Qatar Grand Prix,2021,losail,,Sereno,1,5,0.1,2,3,1,2,0,0,3,8,18,8,1,7,0
24971,1052,844,6,16,4,6,6,6,8,56,59.09,5582987,44,11,01:35.0,205.112,1,Finished,leclerc,ferrari,3,Bahrain Grand Prix,2021,bahrain,7,Sereno,1,5,0.1,4,5,1,1,0,0,3,8,18,8,9,7,2
24989,1053,844,6,16,4,4,4,4,12,63,25.579,7380177,60,6,01:18.4,225.473,1,Finished,leclerc,ferrari,21,Emilia Romagna Grand Prix,2021,imola,37,"Piovoso a inizio gara, umido successivamente",3,5,0.1,1,5,1,1,0,0,3,8,18,8,3,7,0
25011,1054,844,6,16,8,6,6,6,8,66,55.781,5727202,47,6,01:21.5,205.541,1,Finished,leclerc,ferrari,75,Portuguese Grand Prix,2021,portimao,108,Poco nuvoloso,1,5,0.1,4,7,1,1,0,0,3,8,18,8,1,7,0
25029,1055,844,6,16,4,4,4,4,12,66,54.616,5642296,54,4,01:20.5,209.174,1,Finished,leclerc,ferrari,4,Spanish Grand Prix,2021,catalunya,109,Nuvoloso,2,5,0.1,5,4,1,1,9,0,3,8,18,8,11,7,0
25065,1056,844,6,16,1,,W,20,0,0,\N,,69,0,\N,\N,30,Driveshaft,leclerc,ferrari,6,Monaco Grand Prix,2021,monaco,7,Sereno,1,5,0.1,1,9,1,2,11,0,3,8,18,8,11,7,4
25069,1057,844,6,16,1,4,4,4,12,51,3.828,8020238,43,8,01:45.4,205.071,1,Finished,leclerc,ferrari,73,Azerbaijan Grand Prix,2021,BAK,-7,Sereno,1,5,0.1,3,6,1,2,0,0,3,8,18,8,3,7,0
25112,1058,844,6,16,7,7,7,7,6,70,\N,,71,6,01:08.7,226.145,11,+1 Lap,leclerc,ferrari,70,Styrian Grand Prix,2021,red_bull_ring,678,Parzialmente nuvoloso,2,5,0.1,1,3,1,1,3,1,3,8,18,8,5,7,2
25101,1059,844,6,16,7,16,16,16,0,52,\N,,44,8,01:37.7,215.304,11,+1 Lap,leclerc,ferrari,34,French Grand Prix,2021,ricard,432,Parzialmente nuvoloso,2,5,0.1,5,2,1,1,0,0,3,8,18,8,1,7,0
25133,1060,844,6,16,12,8,8,8,4,71,+1:01.195,5095738,55,13,01:08.7,226.277,1,Finished,leclerc,ferrari,70,Austrian Grand Prix,2021,red_bull_ring,678,Parzialmente nuvoloso,2,5,0.1,3,3,1,1,3,1,3,8,18,8,5,7,2
25147,1061,844,6,16,4,2,2,2,18,52,3.871,7107155,45,5,01:30.6,234.159,1,Finished,leclerc,ferrari,9,British Grand Prix,2021,silverstone,153,Sereno,1,5,0.1,2,4,1,1,12,0,3,8,18,8,11,7,0
25183,1062,844,6,16,7,,R,18,0,0,\N,,49,0,\N,\N,4,Collision,leclerc,ferrari,11,Hungarian Grand Prix,2021,hungaroring,264,"Piovoso a inizio gara, asciutto successivamente",3,5,0.1,2,11,1,1,8,1,3,8,18,8,9,7,4
25193,1063,844,6,16,9,8,8,8,2,1,12.608,219679,0,0,\N,\N,1,Finished,leclerc,ferrari,13,Belgian Grand Prix,2021,spa,401,Piovoso,3,5,0.1,0,4,1,1,12,0,3,8,18,8,10,7,4
25210,1064,844,6,16,5,5,5,5,10,71,\N,,72,9,01:14.8,205.033,11,+1 Lap,leclerc,ferrari,39,Dutch Grand Prix,2021,zandvoort,6,Sereno,1,5,0.1,1,5,1,1,0,0,3,8,18,8,1,7,0
25229,1065,844,6,16,5,4,4,4,12,53,7.309,4921674,3,6,01:25.3,244.433,1,Finished,leclerc,ferrari,14,Italian Grand Prix,2021,monza,162,Sereno,1,5,0.1,14,2,1,1,14,0,3,8,18,8,8,7,4
25260,1066,844,6,16,19,15,15,15,0,52,\N,,43,7,01:39.0,212.667,11,+1 Lap,leclerc,ferrari,71,Russian Grand Prix,2021,sochi,2,Nuvoloso con pioggia nel finale,3,5,0.1,2,4,1,1,0,0,3,8,18,8,5,7,0
25269,1067,844,6,16,3,4,4,4,12,58,37.814,5501917,52,8,01:32.7,207.218,1,Finished,leclerc,ferrari,5,Turkish Grand Prix,2021,istanbul,130,Nuvoloso e piovoso,3,5,0.1,10,2,1,1,0,0,3,8,18,8,5,7,0
25289,1069,844,6,16,4,4,4,4,12,56,52.246,5728798,41,3,01:39.3,199.861,1,Finished,leclerc,ferrari,69,United States Grand Prix,2021,americas,161,Sereno,1,5,0.1,1,4,1,1,0,0,3,8,18,8,6,7,2
25310,1070,844,6,16,8,5,5,5,10,71,+1:21.037,6000123,66,9,01:20.7,192.083,1,Finished,leclerc,ferrari,32,Mexico City Grand Prix,2021,rodriguez,2227,Sereno,1,5,0.1,4,5,1,3,0,0,3,8,18,8,4,7,0
25330,1071,844,6,16,6,5,5,5,10,71,49.517,5592368,46,7,01:12.8,213.018,1,Finished,leclerc,ferrari,18,São Paulo Grand Prix,2021,interlagos,785,not found,0,5,0.1,2,8,1,2,8,1,3,8,18,8,10,7,4
25372,1072,844,6,16,4,7,7,7,6,50,44.475,7619593,47,4,01:31.6,242.643,1,Finished,leclerc,ferrari,77,Saudi Arabian Grand Prix,2021,jeddah,15,Sereno,1,5,0.1,1,6,1,1,0,0,3,8,18,8,1,7,0
25395,1073,844,6,16,7,10,10,10,1,58,+1:06.057,5483402,43,12,01:28.4,214.983,1,Finished,leclerc,ferrari,24,Abu Dhabi Grand Prix,2021,yas_marina,3,Sereno,1,5,0.1,3,2,1,1,0,1,3,8,18,8,7,7,0
