resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,circuitId
224,28,22,11,17,17,16,16,16,0,68,\N,\N,65,14,01:22.4,191.319,12,11
225,28,13,6,2,3,17,17,17,0,67,\N,\N,16,2,01:21.4,193.861,5,11
226,28,7,5,14,19,18,18,18,0,67,\N,\N,29,17,01:23.2,189.516,13,11
227,28,16,10,20,20,\N,R,19,0,62,\N,\N,29,19,01:23.7,188.542,23,11
228,28,20,5,15,11,\N,R,20,0,22,\N,\N,17,20,01:24.2,187.262,25,11
229,29,13,6,2,1,1,1,1,10,57,35:32.3,5732339,36,1,01:38.7,197.637,1,12
230,29,1,1,22,2,2,2,2,8,57,5.611,5737950,16,2,01:38.9,197.285,1,12
231,29,9,2,4,3,3,3,3,6,57,37.353,5769692,38,4,01:39.3,196.399,1,12
232,29,5,1,23,5,4,4,4,5,57,39.703,5772042,19,3,01:39.1,196.831,1,12
233,29,15,7,11,7,5,5,5,4,57,50.684,5783023,37,12,01:39.7,195.755,1,12
234,29,20,5,15,6,6,6,6,3,57,52.625,5784964,36,6,01:39.5,196.093,1,12
235,29,10,7,12,13,7,7,7,2,57,+1:07.990,5800329,54,8,01:39.5,195.995,1,12
236,29,3,3,7,9,8,8,8,1,57,+1:11.457,5803796,35,10,01:39.6,195.912,1,12
237,29,2,2,3,8,9,9,9,0,57,+1:22.177,5814516,57,7,01:39.5,196.013,1,12
238,29,7,5,14,10,10,10,10,0,57,+1:29.794,5822133,35,11,01:39.6,195.79,1,12
239,29,12,4,6,15,11,11,11,0,57,+1:32.717,5825056,29,9,01:39.5,195.977,1,12
240,29,17,9,10,14,12,12,12,0,56,\N,\N,27,14,01:40.3,194.57,11,12
241,29,18,11,16,16,13,13,13,0,56,\N,\N,21,18,01:40.8,193.606,11,12
242,29,21,10,21,18,14,14,14,0,56,\N,\N,54,15,01:40.4,194.397,11,12
243,29,6,3,8,11,15,15,15,0,56,\N,\N,56,13,01:39.8,195.469,11,12
244,29,22,11,17,19,16,16,16,0,56,\N,\N,56,16,01:40.6,193.933,11,12
245,29,14,9,9,17,17,17,17,0,56,\N,\N,13,19,01:41.0,193.194,11,12
246,29,8,6,1,4,\N,R,18,0,45,\N,\N,34,5,01:39.4,196.214,5,12
247,29,16,10,20,20,\N,R,19,0,41,\N,\N,28,17,01:40.7,193.802,3,12
248,29,4,4,5,12,\N,R,20,0,0,\N,\N,\N,\N,\N,\N,4,12
249,30,13,6,2,2,1,1,1,10,44,22:59.4,4979394,26,3,01:48.2,232.987,1,13
250,30,2,2,3,5,2,2,2,8,44,9.383,4988777,36,7,01:49.1,231.182,1,13
251,30,1,1,22,1,3,3,3,6,44,10.539,4989933,20,2,01:48.1,233.175,1,13
252,30,4,4,5,6,4,4,4,5,44,14.478,4993872,25,9,01:49.2,230.82,1,13
253,30,20,5,15,10,5,5,5,4,44,14.576,4993970,16,8,01:49.1,231.142,1,13
254,30,9,2,4,8,6,6,6,3,44,15.037,4994431,36,5,01:49.0,231.399,1,13
255,30,7,5,14,9,7,7,7,2,44,16.735,4996129,31,6,01:49.0,231.32,1,13
256,30,17,9,10,7,8,8,8,1,44,42.776,5022170,34,10,01:49.5,230.236,1,13
257,30,10,7,12,13,9,9,9,0,44,+1:07.045,5046439,37,12,01:50.3,228.691,1,13
258,30,5,1,23,3,10,10,10,0,43,\N,\N,35,4,01:48.2,232.985,6,13
259,30,14,9,9,14,11,11,11,0,43,\N,\N,19,11,01:50.2,228.853,11,13
260,30,3,3,7,15,12,12,12,0,43,\N,\N,32,15,01:50.7,227.862,11,13
261,30,16,10,20,18,13,13,13,0,43,\N,\N,27,13,01:50.5,228.211,11,13
262,30,6,3,8,19,14,14,14,0,43,\N,\N,35,17,01:51.0,227.218,11,13
263,30,18,11,16,17,15,15,15,0,43,\N,\N,19,16,01:50.7,227.832,11,13
264,30,15,7,11,11,16,16,16,0,43,\N,\N,32,14,01:50.5,228.095,11,13
265,30,21,10,21,20,17,17,17,0,43,\N,\N,17,19,01:51.7,225.731,11,13
266,30,8,6,1,4,18,18,18,0,42,\N,\N,24,1,01:47.9,233.618,20,13
267,30,22,11,17,16,\N,R,19,0,19,\N,\N,10,20,01:52.1,224.983,6,13
268,30,12,4,6,12,\N,R,20,0,13,\N,\N,12,18,01:51.1,226.915,20,13
269,31,20,5,15,1,1,1,1,10,53,26:47.5,5207494,53,14,01:30.5,230.414,1,14
270,31,5,1,23,2,2,2,2,8,53,12.512,5220006,53,13,01:30.3,230.95,1,14
271,31,9,2,4,11,3,3,3,6,53,20.471,5227965,52,12,01:30.3,230.955,1,14
272,31,4,4,5,8,4,4,4,5,53,23.903,5231397,51,9,01:30.0,231.82,1,14
273,31,2,2,3,10,5,5,5,4,53,27.748,5235242,53,6,01:29.8,232.217,1,14
274,31,13,6,2,6,6,6,6,3,53,28.816,5236310,52,4,01:29.7,232.505,1,14
275,31,1,1,22,15,7,7,7,2,53,29.912,5237406,52,5,01:29.7,232.44,1,14
276,31,17,9,10,3,8,8,8,1,53,32.048,5239542,52,3,01:29.7,232.544,1,14
277,31,8,6,1,14,9,9,9,0,53,39.468,5246962,53,1,01:28.0,236.859,1,14
278,31,12,4,6,17,10,10,10,0,53,54.445,5261939,53,16,01:30.9,229.38,1,14
279,31,10,7,12,9,11,11,11,0,53,58.888,5266382,53,8,01:29.9,231.853,1,14
280,31,6,3,8,18,12,12,12,0,53,+1:02.015,5269509,53,11,01:30.2,231.167,1,14
281,31,15,7,11,7,13,13,13,0,53,+1:05.954,5273448,52,15,01:30.9,229.544,1,14
282,31,3,3,7,5,14,14,14,0,53,+1:08.635,5276129,53,10,01:30.0,231.671,1,14
283,31,18,11,16,19,15,15,15,0,53,+1:13.370,5280864,52,7,01:29.8,232.166,1,14
284,31,14,9,9,13,16,16,16,0,52,\N,\N,49,17,01:32.5,225.557,11,14
285,31,22,11,17,16,17,17,17,0,52,\N,\N,42,19,01:33.9,222.053,11,14
286,31,7,5,14,4,18,18,18,0,52,\N,\N,52,2,01:29.3,233.646,11,14
287,31,16,10,20,20,19,19,19,0,51,\N,\N,51,18,01:33.5,223.146,12,14
288,31,21,10,21,12,\N,R,20,0,11,\N,\N,6,20,01:37.3,214.326,3,14
289,32,4,4,5,15,1,1,1,10,61,57:16.3,7036304,55,3,01:45.8,172.464,1,15
290,32,3,3,7,8,2,2,2,8,61,2.957,7039261,39,5,01:46.5,171.352,1,15
291,32,1,1,22,2,3,3,3,6,61,5.917,7042221,14,4,01:46.1,171.969,1,15
292,32,10,7,12,7,4,4,4,5,61,8.155,7044459,50,8,01:47.0,170.408,1,15
293,32,20,5,15,6,5,5,5,4,61,10.268,7046572,13,9,01:47.3,170.047,1,15
294,32,2,2,3,9,6,6,6,3,61,11.101,7047405,14,11,01:47.3,169.992,1,15
295,32,14,9,9,14,7,7,7,2,61,16.387,7052691,41,13,01:47.6,169.587,1,15
296,32,6,3,8,10,8,8,8,1,61,18.489,7054793,13,10,01:47.3,170.022,1,15
297,32,18,11,16,12,9,9,9,0,61,19.885,7056189,61,15,01:48.1,168.7,1,15
298,32,5,1,23,5,10,10,10,0,61,26.902,7063206,14,12,01:47.3,169.943,1,15
299,32,9,2,4,4,11,11,11,0,61,27.975,7064279,14,6,01:46.9,170.639,1,15
300,32,7,5,14,17,12,12,12,0,61,29.432,7065736,29,14,01:47.8,169.181,1,15
301,32,13,6,2,1,13,13,13,0,61,35.17,7071474,13,2,01:45.8,172.482,1,15
302,32,21,10,21,20,14,14,14,0,61,43.571,7079875,28,16,01:49.1,167.195,1,15
303,32,8,6,1,3,15,15,15,0,57,\N,\N,14,1,01:45.6,172.74,3,15
304,32,15,7,11,11,\N,R,16,0,50,\N,\N,32,7,01:47.0,170.523,9,15
