resultId,total_points_driver,average_col_acc
24720,308,0.01
24721,47,0.11
24722,21,0.05
24723,19,0.08
24724,7,0.1
24725,77,0.05
24726,1555.5,0.01
24727,1136.5,0.09
24728,1022,0.04
24729,136,0.08
24730,429,0.03
24731,418.5,0.04
24732,636,0.04
24733,197,0
24734,309,0.06
24735,306,0.05
24736,458,0.04
24737,69,0.08
24738,185,0.07
24739,308,0.01
24740,77,0.05
24741,21,0.05
24742,19,0.08
24743,7,0.1
24744,47,0.11
24745,560,0.1
24746,1555.5,0.01
24747,1022,0.04
24748,1136.5,0.09
24749,458,0.04
24750,185,0.07
24751,197,0
24752,306,0.05
24753,309,0.06
24754,136,0.08
24755,429,0.03
24756,69,0.08
24757,308,0.01
24758,636,0.04
24759,560,0.1
24760,47,0.11
24761,7,0.1
24762,77,0.05
24763,21,0.05
24764,19,0.08
24765,418.5,0.04
24766,309,0.06
24767,418.5,0.04
24768,136,0.08
24769,306,0.05
24770,1022,0.04
24771,458,0.04
24772,1555.5,0.01
24773,185,0.07
24774,69,0.08
24775,429,0.03
24776,7,0.1
24777,47,0.11
24778,308,0.01
24779,19,0.08
24780,197,0
24781,21,0.05
24782,1136.5,0.09
24783,560,0.1
24784,77,0.05
24785,636,0.04
24786,1555.5,0.01
24787,1022,0.04
24788,197,0
24789,458,0.04
24790,429,0.03
24791,306,0.05
24792,69,0.08
24793,560,0.1
24794,308,0.01
24795,636,0.04
24796,19,0.08
24797,47,0.11
24798,136,0.08
24799,185,0.07
24800,7,0.1
24801,77,0.05
24802,21,0.05
24803,418.5,0.04
24804,1136.5,0.09
24805,309,0.06
24806,1022,0.04
24807,1136.5,0.09
24808,1555.5,0.01
24809,429,0.03
24810,458,0.04
24811,560,0.1
24812,185,0.07
24813,69,0.08
24814,309,0.06
24815,197,0
24816,21,0.05
24817,77,0.05
24818,636,0.04
24819,308,0.01
24820,306,0.05
24821,7,0.1
24822,47,0.11
24823,19,0.08
24824,418.5,0.04
24825,136,0.08
24826,1555.5,0.01
24827,1136.5,0.09
24828,458,0.04
24829,429,0.03
24830,418.5,0.04
24831,309,0.06
24832,560,0.1
24833,116,0.11
24834,47,0.11
24835,21,0.05
24836,636,0.04
24837,308,0.01
24838,77,0.05
24839,7,0.1
24840,69,0.08
24841,306,0.05
24842,197,0
24843,185,0.07
24844,1022,0.04
24845,19,0.08
24846,1555.5,0.01
24847,1022,0.04
24848,1136.5,0.09
24849,560,0.1
24850,309,0.06
24851,418.5,0.04
24852,429,0.03
24853,185,0.07
24854,458,0.04
24855,636,0.04
24856,308,0.01
24857,197,0
24858,306,0.05
24859,19,0.08
24860,21,0.05
24861,77,0.05
24862,47,0.11
24863,7,0.1
24864,69,0.08
24865,136,0.08
24866,1555.5,0.01
24867,1022,0.04
24868,458,0.04
24869,69,0.08
24870,560,0.1
24871,429,0.03
24872,418.5,0.04
24873,306,0.05
24874,308,0.01
24875,21,0.05
24876,7,0.1
24877,636,0.04
24878,136,0.08
24879,47,0.11
24880,197,0
24881,19,0.08
24882,1136.5,0.09
24883,77,0.05
24884,185,0.07
24885,309,0.06
24886,1555.5,0.01
24887,429,0.03
24888,636,0.04
24889,560,0.1
24890,418.5,0.04
24891,1136.5,0.09
24892,197,0
24893,306,0.05
24894,136,0.08
24895,458,0.04
24896,185,0.07
24897,69,0.08
24898,309,0.06
24899,1022,0.04
24900,308,0.01
24901,19,0.08
24902,77,0.05
24903,47,0.11
24904,7,0.1
24905,21,0.05
24906,1555.5,0.01
24907,1136.5,0.09
24908,197,0
24909,306,0.05
24910,418.5,0.04
24911,309,0.06
24912,458,0.04
24913,1022,0.04
24914,185,0.07
24915,560,0.1
24916,69,0.08
24917,19,0.08
