,constructorId,positionOrder,year,sumpoints
0,1,1,2021,27.0
271,9,16,2021,0.0
415,131,20,2021,0.0
93,3,17,2021,0.0
97,3,18,2021,0.0
101,3,19,2021,0.0
105,3,20,2021,0.0
185,6,2,2021,36.0
189,6,3,2021,45.0
193,6,4,2021,72.0
197,6,5,2021,50.0
201,6,6,2021,57.0
203,6,7,2021,36.0
89,3,16,2021,0.0
206,6,8,2021,26.0
210,6,11,2021,0.0
215,6,15,2021,0.0
217,6,16,2021,0.0
223,6,18,2021,0.0
228,6,20,2021,0.0
232,9,1,2021,265.5
236,9,2,2021,148.0
240,9,3,2021,60.0
244,9,4,2021,61.0
248,9,5,2021,30.0
208,6,10,2021,1.5
252,9,6,2021,8.0
85,3,15,2021,0.0
77,3,13,2021,0.0
2,1,2,2021,18.0
5,1,3,2021,45.0
7,1,4,2021,42.0
11,1,5,2021,70.0
14,1,6,2021,24.0
18,1,7,2021,31.0
22,1,8,2021,8.0
26,1,9,2021,6.0
29,1,10,2021,4.0
32,1,11,2021,0.0
81,3,14,2021,0.0
35,1,12,2021,0.0
42,1,14,2021,0.0
45,1,15,2021,0.0
55,1,19,2021,0.0
59,3,2,2021,9.0
60,3,7,2021,6.0
62,3,8,2021,4.0
64,3,9,2021,3.0
67,3,10,2021,1.0
71,3,11,2021,0.0
75,3,12,2021,0.0
39,1,13,2021,0.0
257,9,8,2021,4.0
259,9,9,2021,4.0
263,9,11,2021,0.0
362,117,12,2021,0.0
363,117,13,2021,0.0
364,117,14,2021,0.0
365,117,15,2021,0.0
366,117,16,2021,0.0
367,117,17,2021,0.0
368,117,18,2021,0.0
369,117,19,2021,0.0
370,117,20,2021,0.0
374,131,1,2021,229.0
361,117,11,2021,0.0
378,131,2,2021,166.0
386,131,4,2021,24.0
390,131,5,2021,20.0
391,131,6,2021,16.0
395,131,7,2021,7.0
402,131,12,2021,0.0
406,131,15,2021,0.0
408,131,16,2021,0.0
409,131,17,2021,0.0
410,131,18,2021,0.0
413,131,19,2021,0.0
382,131,3,2021,151.5
360,117,10,2021,4.0
359,117,9,2021,4.0
358,117,8,2021,16.0
269,9,15,2021,0.0
541,214,19,2021,0.0
275,9,17,2021,0.0
278,9,18,2021,2.0
281,9,19,2021,0.0
285,9,20,2021,3.0
319,51,8,2021,8.0
322,51,9,2021,2.0
325,51,10,2021,3.0
328,51,11,2021,0.0
331,51,12,2021,0.0
334,51,13,2021,0.0
337,51,14,2021,0.0
340,51,15,2021,0.0
343,51,16,2021,0.0
346,51,17,2021,0.0
349,51,18,2021,0.0
351,51,19,2021,0.0
353,51,20,2021,0.0
354,117,2,2021,18.0
355,117,5,2021,15.0
356,117,6,2021,8.0
357,117,7,2021,12.0
435,210,12,2021,0.0
542,214,20,2021,0.0
