,constructorId,positionOrder,circuitId,sumpits
511,6,5,39,1.0
861,51,14,39,3.0
207,3,16,39,1.0
1368,214,9,39,1.0
1172,210,18,39,3.0
1009,131,3,39,3.0
527,6,7,39,1.0
932,117,13,39,3.0
926,117,12,39,1.0
1335,213,19,39,1.0
1386,214,19,69,3.0
1302,213,9,69,3.0
1238,211,10,69,1.0
1129,210,15,69,1.0
1139,210,16,69,3.0
1173,210,18,69,3.0
1342,213,20,69,1.0
1253,211,13,69,3.0
1157,210,17,69,7.0
1384,214,18,69,6.0
1196,210,20,69,1.0
694,9,16,69,0.0
772,15,10,69,1.0
126,1,18,69,0.0
851,51,13,69,3.0
968,131,1,69,3.0
227,3,17,69,3.0
315,4,9,69,3.0
57,1,8,69,4.0
295,4,7,69,1.0
287,4,6,69,2.0
862,51,14,69,3.0
581,6,20,69,0.0
927,117,12,69,3.0
594,9,1,69,3.0
176,3,14,69,9.0
918,117,10,69,3.0
607,9,2,69,1.0
85,1,11,69,3.0
623,9,3,69,6.0
654,9,5,69,6.0
254,3,19,69,1.0
528,6,7,69,3.0
44,1,7,69,3.0
1037,131,6,69,3.0
411,5,12,69,6.0
187,3,15,69,3.0
992,131,2,69,4.0
456,6,1,69,1.0
1010,131,3,69,3.0
165,3,13,69,3.0
21,1,5,69,3.0
755,10,19,69,1.0
431,5,16,69,3.0
495,6,4,69,7.0
729,10,8,69,1.0
1033,131,5,69,1.0
788,15,15,69,1.0
388,5,9,69,1.0
826,51,11,69,6.0
670,9,7,70,1.0
667,9,6,70,1.0
228,3,17,70,4.0
767,15,9,70,1.0
177,3,14,70,3.0
208,3,16,70,2.0
188,3,15,70,1.0
1140,210,16,70,3.0
1387,214,20,70,0.0
1307,213,10,70,2.0
1318,213,12,70,9.0
1158,210,17,70,0.0
726,10,7,70,1.0
1303,213,9,70,3.0
705,9,18,70,3.0
721,10,6,70,1.0
685,9,13,70,6.0
1174,210,18,70,2.0
715,9,20,70,0.0
639,9,4,70,4.0
405,5,11,70,1.0
370,4,20,70,0.0
429,5,15,70,1.0
434,5,17,70,1.0
363,4,19,70,0.0
1240,211,11,70,1.0
467,6,2,70,8.0
1262,211,18,70,0.0
482,6,3,70,1.0
355,4,18,70,0.0
496,6,4,70,3.0
512,6,5,70,1.0
341,4,13,70,1.0
242,3,18,70,1.0
522,6,6,70,1.0
529,6,7,70,3.0
336,4,12,70,4.0
536,6,8,70,1.0
1213,211,6,70,4.0
306,4,8,70,4.0
545,6,10,70,6.0
576,6,19,70,1.0
582,6,20,70,0.0
264,3,20,70,1.0
255,3,19,70,3.0
1293,213,7,70,3.0
1186,210,19,70,9.0
624,9,3,70,3.0
