,constructorId,positionOrder,circuitId,sumpoints
1284,213,6,11,8.0
517,6,6,11,8.0
649,9,5,11,10.0
1002,131,3,11,15.0
63,1,9,11,4.0
376,5,6,11,8.0
633,9,4,11,12.0
1106,210,13,11,0.0
816,51,10,11,1.0
1044,131,8,11,4.0
982,131,2,11,18.0
1134,210,16,11,0.0
660,9,6,11,8.0
1055,131,16,11,0.0
218,3,17,11,0.0
490,6,4,11,12.0
1216,211,7,11,6.0
198,3,16,11,0.0
141,3,8,11,4.0
1239,211,11,11,0.0
52,1,8,11,4.0
1338,213,20,11,0.0
110,1,15,11,0.0
1347,214,4,11,12.0
426,5,15,11,0.0
333,4,12,11,0.0
248,3,19,11,0.0
708,9,19,11,0.0
1345,214,1,11,25.0
1097,210,12,11,0.0
601,9,2,11,37.0
786,15,15,11,0.0
696,9,17,11,0.0
571,6,18,11,0.0
123,1,18,11,0.0
943,117,19,11,0.0
1191,210,20,11,0.0
16,1,5,11,10.0
237,3,18,11,0.0
400,5,11,11,0.0
896,51,18,11,0.0
846,51,13,11,0.0
891,51,17,11,0.0
1278,213,5,11,11.0
945,117,20,11,0.0
798,15,20,11,0.0
97,1,13,11,0.0
956,131,1,11,76.0
392,5,10,11,1.0
310,4,9,11,2.0
1027,131,5,11,10.0
1135,210,16,13,0.0
770,15,10,13,1.0
586,9,1,13,12.5
344,4,14,13,0.0
8,1,4,13,6.0
156,3,12,13,0.0
1285,213,6,13,4.0
270,4,4,13,13.0
1003,131,3,13,22.5
249,3,19,13,0.0
219,3,17,13,0.0
556,6,13,13,0.0
1017,131,4,13,12.0
366,4,20,13,0.0
543,6,10,13,0.5
1374,214,11,13,0.0
835,51,12,13,0.0
143,3,9,13,1.0
560,6,14,13,0.0
1211,211,6,13,8.0
1048,131,12,13,0.0
847,51,13,13,0.0
617,9,3,13,30.0
534,6,8,13,2.0
1296,213,8,13,4.0
39,1,7,13,6.0
567,6,17,13,0.0
897,51,18,13,0.0
139,3,2,13,9.0
1311,213,11,13,0.0
385,5,9,13,4.0
1076,210,8,13,4.0
957,131,1,13,25.0
161,3,13,13,0.0
275,4,5,13,10.0
1354,214,7,13,3.0
453,6,1,13,50.0
129,1,19,13,0.0
693,9,16,13,0.0
792,15,18,13,0.0
1074,210,7,13,6.0
183,3,15,13,0.0
1325,213,15,13,0.0
709,9,19,13,0.0
1098,210,12,13,0.0
714,9,20,13,0.0
1150,210,17,13,0.0
717,10,5,13,10.0
420,5,14,13,0.0
111,1,15,13,0.0
719,10,6,13,8.0
328,4,11,13,0.0
103,1,14,13,0.0
301,4,8,13,4.0
906,117,5,13,5.0
884,51,16,13,0.0
946,117,20,13,0.0
136,1,20,13,0.0
1107,210,13,13,0.0
661,9,6,13,8.0
491,6,4,13,13.0
650,9,5,13,10.0
1123,210,15,13,0.0
983,131,2,13,54.0
1230,211,9,13,2.0
378,5,7,13,6.0
1235,211,10,13,2.0
81,1,11,13,0.0
199,3,16,13,0.0
787,15,15,14,0.0
1192,210,20,14,0.0
720,10,6,14,8.0
873,51,15,14,0.0
651,9,5,14,20.0
1039,131,7,14,7.0
848,51,13,14,0.0
1136,210,16,14,0.0
724,10,7,14,6.0
908,117,7,14,6.0
984,131,2,14,18.0
809,51,9,14,2.0
703,9,18,14,2.0
1004,131,3,14,49.0
697,9,17,14,0.0
1057,131,17,14,0.0
1028,131,5,14,10.0
689,9,15,14,0.0
775,15,11,14,0.0
1182,210,19,14,0.0
