resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,total_points_driver,average_col_acc
25268,1067,815,9,11,6,3,3,3,15,58,33.471,5497574,53,4,01:32.5,207.841,1,429.00,0.03
25269,1067,844,6,16,3,4,4,4,12,58,37.814,5501917,57,8,01:32.7,207.218,1,560.00,0.10
25270,1067,1,131,44,11,5,5,5,10,58,41.812,5505915,52,10,01:32.8,207.16,1,1555.50,0.01
25271,1067,842,213,10,4,6,6,6,8,58,44.292,5508395,50,11,01:32.8,207.046,1,309.00,0.06
25272,1067,846,1,4,7,7,7,7,6,58,47.213,5511316,50,3,01:32.4,207.87,1,306.00,0.05
25273,1067,832,6,55,19,8,8,8,4,58,51.526,5515629,49,2,01:31.9,209.057,1,418.50,0.04
25274,1067,840,117,18,8,9,9,9,2,58,+1:22.018,5546121,58,6,01:32.6,207.506,1,136.00,0.08
25275,1067,839,214,31,12,10,10,10,1,57,\N,\N,24,19,01:34.6,203.171,11,185.00,0.07
25276,1067,841,51,99,16,11,11,11,0,57,\N,\N,57,13,01:32.9,206.845,11,21.00,0.05
25277,1067,8,51,7,17,12,12,12,0,57,\N,\N,50,5,01:32.6,207.556,11,308.00,0.01
25278,1067,817,1,3,20,13,13,13,0,57,\N,\N,34,15,01:33.3,206.067,11,458.00,0.04
25279,1067,852,213,22,9,14,14,14,0,57,\N,\N,54,12,01:32.8,206.979,11,32.00,0.05
25280,1067,847,3,63,13,15,15,15,0,57,\N,\N,53,16,01:33.4,205.749,11,19.00,0.08
25281,1067,4,214,14,5,16,16,16,0,57,\N,\N,55,14,01:33.3,206.073,11,131.00,0.05
25282,1067,849,3,6,15,17,17,17,0,57,\N,\N,48,17,01:33.7,205.149,11,7.00,0.10
25283,1067,20,117,5,10,18,18,18,0,57,\N,\N,54,7,01:32.7,207.233,11,636.00,0.04
25284,1067,854,210,47,14,19,19,19,0,56,\N,\N,52,18,01:34.2,203.98,12, -   ,0.09
25285,1067,853,210,9,18,20,20,20,0,56,\N,\N,52,20,01:35.4,201.353,12, -   ,0.14
25286,1069,830,9,33,1,1,1,1,25,56,34:36.6,5676552,52,2,01:39.1,200.278,1,1136.50,0.09
25287,1069,1,131,44,2,2,2,2,19,56,1.333,5677885,41,1,01:38.5,201.521,1,1555.50,0.01
25288,1069,815,9,11,3,3,3,3,15,56,42.223,5718775,32,4,01:39.6,199.333,1,429.00,0.03
25289,1069,844,6,16,4,4,4,4,12,56,52.246,5728798,41,3,01:39.3,199.861,1,560.00,0.10
25290,1069,817,1,3,6,5,5,5,10,56,+1:16.854,5753406,43,8,01:40.3,197.785,1,458.00,0.04
25291,1069,822,131,77,9,6,6,6,8,56,+1:20.128,5756680,41,6,01:40.1,198.176,1,1022.00,0.04
25292,1069,832,6,55,5,7,7,7,6,56,+1:23.545,5760097,40,9,01:40.4,197.722,1,418.50,0.04
25293,1069,846,1,4,7,8,8,8,4,56,+1:24.395,5760947,41,7,01:40.2,198.016,1,306.00,0.05
25294,1069,852,213,22,10,9,9,9,2,55,\N,\N,47,13,01:41.2,196.209,11,32.00,0.05
25295,1069,20,117,5,18,10,10,10,1,55,\N,\N,40,10,01:40.5,197.517,11,636.00,0.04
25296,1069,841,51,99,12,11,11,11,0,55,\N,\N,44,12,01:41.1,196.221,11,21.00,0.05
25297,1069,840,117,18,13,12,12,12,0,55,\N,\N,36,14,01:41.2,196.135,11,136.00,0.08
25298,1069,8,51,7,15,13,13,13,0,55,\N,\N,43,15,01:41.3,195.843,11,308.00,0.01
25299,1069,847,3,63,20,14,14,14,0,55,\N,\N,36,11,01:41.1,196.269,11,19.00,0.08
25300,1069,849,3,6,14,15,15,15,0,55,\N,\N,46,17,01:41.8,194.924,11,7.00,0.10
25301,1069,854,210,47,16,16,16,16,0,54,\N,\N,36,16,01:41.4,195.737,12, -   ,0.09
25302,1069,853,210,9,17,17,17,17,0,54,\N,\N,42,20,01:42.9,192.9,12, -   ,0.14
25303,1069,4,214,14,19,\N,R,18,0,49,\N,\N,46,5,01:40.1,198.335,65,131.00,0.05
25304,1069,839,214,31,11,\N,R,19,0,40,\N,\N,28,19,01:42.2,194.207,26,185.00,0.07
25305,1069,842,213,10,8,\N,R,20,0,14,\N,\N,12,18,01:42.0,194.547,22,309.00,0.06
25306,1070,830,9,33,3,1,1,1,25,71,38:39.1,5919086,52,2,01:19.0,196.134,1,1136.50,0.09
25307,1070,1,131,44,2,2,2,2,18,71,16.555,5935641,66,4,01:19.8,194.116,1,1555.50,0.01
25308,1070,815,9,11,4,3,3,3,15,71,17.752,5936838,49,3,01:19.5,194.976,1,429.00,0.03
25309,1070,842,213,10,5,4,4,4,12,71,+1:03.845,5982931,66,7,01:20.5,192.453,1,309.00,0.06
